grupo,dataset,agent,iter_acc,iter_exp,order
G1,wine,rf_G1_wine,0,0,simultaneous
G1,wine,gb_G1_wine,0,0,simultaneous
G1,wine,torch_G1_wine,0,3,acc_first
G1,digits,rf_G1_digits,1,-1,acc_first
G1,digits,gb_G1_digits,0,-1,acc_first
G1,digits,torch_G1_digits,0,-1,acc_first
G1,covertype,rf_G1_covertype,-1,2,exp_first
G1,covertype,gb_G1_covertype,-1,0,exp_first
G1,covertype,torch_G1_covertype,-1,0,exp_first
G2,wine,xgb_G2_wine,0,0,simultaneous
G2,wine,svm_G2_wine,0,-1,acc_first
G2,wine,lr_G2_wine,0,-1,acc_first
G2,digits,xgb_G2_digits,0,0,simultaneous
G2,digits,svm_G2_digits,0,-1,acc_first
G2,digits,lr_G2_digits,0,0,simultaneous
G2,covertype,xgb_G2_covertype,-1,-1,never
G2,covertype,svm_G2_covertype,-1,-1,never
G2,covertype,lr_G2_covertype,-1,-1,never
G3,wine,knn_G3_wine,0,0,simultaneous
G3,wine,rf_G3_wine,0,0,simultaneous
G3,wine,xgb_G3_wine,0,0,simultaneous
G3,digits,knn_G3_digits,0,1,simultaneous
G3,digits,rf_G3_digits,1,2,simultaneous
G3,digits,xgb_G3_digits,0,0,simultaneous
G3,covertype,knn_G3_covertype,-1,-1,never
G3,covertype,rf_G3_covertype,-1,6,exp_first
G3,covertype,xgb_G3_covertype,-1,0,exp_first
G4,wine,torch_G4_wine,0,0,simultaneous
G4,wine,svm_G4_wine,0,1,simultaneous
G4,wine,gb_G4_wine,0,0,simultaneous
G4,digits,torch_G4_digits,0,0,simultaneous
G4,digits,svm_G4_digits,0,0,simultaneous
G4,digits,gb_G4_digits,0,-1,acc_first
G4,covertype,torch_G4_covertype,-1,0,exp_first
G4,covertype,svm_G4_covertype,-1,-1,never
G4,covertype,gb_G4_covertype,-1,0,exp_first
G5,wine,lr_G5_wine,0,-1,acc_first
G5,wine,knn_G5_wine,0,4,acc_first
G5,wine,torch_G5_wine,0,0,simultaneous
G5,digits,lr_G5_digits,0,-1,acc_first
G5,digits,knn_G5_digits,0,11,acc_first
G5,digits,torch_G5_digits,0,0,simultaneous
G5,covertype,lr_G5_covertype,-1,-1,never
G5,covertype,knn_G5_covertype,-1,-1,never
G5,covertype,torch_G5_covertype,-1,0,exp_first
