grupo,dataset,instancia,stopped_at,n_mentor,n_dissent,n_cooldown,weighted_diff
G1,wine,frontera,-1,20,0,38,0
G1,digits,frontera,-1,0,0,38,20
G1,covertype,frontera,-1,11,0,38,0
G2,wine,frontera,-1,9,9,38,0
G2,digits,frontera,-1,4,0,38,0
G2,covertype,frontera,-1,0,0,38,0
G3,wine,frontera,-1,20,1,38,0
G3,digits,frontera,-1,1,0,38,4
G3,covertype,frontera,-1,5,0,38,0
G4,wine,frontera,-1,20,1,38,0
G4,digits,frontera,-1,2,0,38,0
G4,covertype,frontera,-1,1,0,38,0
G5,wine,frontera,-1,1,0,38,0
G5,digits,frontera,-1,0,0,38,11
G5,covertype,frontera,-1,0,0,38,0
abl_completo,wine,frontera,-1,20,0,38,0
abl_completo,digits,frontera,-1,0,0,38,20
abl_completo,covertype,frontera,-1,11,0,38,0
abl_sin_mentor,wine,frontera,-1,20,10,38,0
abl_sin_mentor,digits,frontera,-1,0,0,38,20
abl_sin_mentor,covertype,frontera,-1,15,0,38,0
abl_sin_cooldown,wine,frontera,-1,19,0,38,0
abl_sin_cooldown,digits,frontera,-1,0,0,38,20
abl_sin_cooldown,covertype,frontera,-1,18,0,38,0
abl_voto_simple,wine,frontera,-1,18,1,38,0
abl_voto_simple,digits,frontera,-1,3,3,38,0
abl_voto_simple,covertype,frontera,-1,19,0,38,0
