Grupo,Dataset,Acc final,ExpQ final,Fid SHAP,Fid LIME,Agreement,Stop iter,W.diff,Mentor,Cooldown,Conv acc,Conv expq
G1,covertype,0.679,0.656,0.606,0.779,0.332,-1,0,11,38,-,0.7
G1,digits,0.906,0.531,0.561,0.61,0.129,-1,20,0,38,0.3,-
G1,wine,0.972,0.611,0.615,0.875,0.308,-1,0,20,38,0.0,1.0
G2,covertype,0.682,0.531,0.451,1.0,0.307,-1,0,0,38,-,-
G2,digits,0.938,0.639,0.491,0.536,0.049,-1,0,4,38,0.0,0.0
G2,wine,0.991,0.526,0.565,0.759,0.245,-1,0,9,38,0.0,0.0
G3,covertype,0.666,0.612,0.4,0.55,0.418,-1,0,5,38,-,3.0
G3,digits,0.907,0.615,0.572,0.692,0.165,-1,4,1,38,0.3,1.0
G3,wine,0.954,0.697,0.656,0.808,0.424,-1,0,20,38,0.0,0.0
G4,covertype,0.702,0.684,0.552,0.951,0.45,-1,0,1,38,-,0.0
G4,digits,0.948,0.566,0.524,0.555,0.094,-1,0,2,38,0.0,0.0
G4,wine,0.991,0.75,0.736,0.729,0.348,-1,0,20,38,0.0,0.3
G5,covertype,0.697,0.585,0.434,0.6,0.369,-1,0,0,38,-,0.0
G5,digits,0.964,0.568,0.507,0.483,0.01,-1,11,0,38,0.0,5.5
G5,wine,0.963,0.538,0.38,0.599,0.099,-1,0,1,38,0.0,2.0
